City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
new norfolk,AU,-42.7826,49.91,67,21,5.99,1668978796
codrington,AU,-38.2667,46.89,82,79,24.92,1668978797
arlit,NE,18.7369,75.78,12,79,10.63,1668978797
jamestown,US,42.097,26.19,78,100,13.8,1668978797
lardos,GR,36.0942,70.95,79,100,14.65,1668978798
ailigandi,PA,9.2333,82.44,83,100,3.94,1668978798
meadow lake,US,34.8014,51.24,24,0,5.66,1668978798
kondinskoye,RU,59.6481,4.35,100,97,5.99,1668978799
ahuimanu,US,21.4447,83.91,64,20,20.71,1668978799
khatanga,RU,71.9667,-33.23,100,66,4.52,1668978800
naze,JP,28.3667,67.78,82,15,4.14,1668978800
airai,TL,-8.9266,61.68,91,100,2.84,1668978801
mumford,GH,5.2618,79.18,82,98,8.34,1668978801
sur,OM,22.5667,75.51,65,0,5.99,1668978801
hailun,CN,47.45,15.85,52,54,8.05,1668978802
adoni,IN,15.6333,64.22,57,100,6.13,1668978802
shache,CN,38.4167,40.17,22,24,4.7,1668978802
stornoway,GB,58.2093,37.92,100,25,3.44,1668978545
klyuchi,RU,52.2667,6.93,78,19,6.11,1668978803
katsuura,JP,35.1333,60.26,88,100,5.55,1668978803
rocha,UY,-34.4833,78.35,67,100,10.38,1668978803
sechura,PE,-5.5569,76.77,55,18,14.83,1668978804
torbay,CA,47.6666,40.75,92,100,17.27,1668978804
bambanglipuro,ID,-7.95,75.6,88,89,6.62,1668978804
marovoay,MG,-16.1,78.33,80,0,5.86,1668978805
carnarvon,AU,-24.8667,69.06,44,0,15.17,1668978805
mlonggo,ID,-6.5333,77.81,86,100,4.03,1668978806
esperance,AU,-33.8667,55.17,60,80,7.54,1668978668
willowmore,ZA,-33.2926,60.53,57,0,7.61,1668978806
tuatapere,NZ,-46.1333,60.4,78,99,3.85,1668978527
savelugu,GH,9.6244,83.64,24,30,5.53,1668978807
padang,ID,-0.9492,75.42,88,95,3.24,1668978807
orikum,AL,40.3253,60.15,85,62,23.15,1668978808
acajutla,SV,13.5928,84.97,62,98,4.72,1668978808
souillac,MU,-20.5167,73.78,78,40,4.61,1668978808
severodvinsk,RU,64.5635,24.91,86,100,7.47,1668978809
donduseni,MD,48.2427,33.12,100,100,0.94,1668978809
mpwapwa,TZ,-6.35,71.96,69,100,2.62,1668978809
san patricio,US,28.017,53.87,61,100,9.82,1668978810
corinto,GR,37.9407,69.89,64,59,17.18,1668978810
namatanai,PG,-3.6667,82.58,67,100,8.23,1668978810
port blair,IN,11.6667,79.23,79,75,4.21,1668978811
pravia,ES,43.4906,52.07,93,40,3.44,1668978811
sarakhs,IR,36.5449,56.82,53,4,4.79,1668978811
shagonar,RU,51.5333,5.16,98,100,2.35,1668978812
umba,RU,66.6871,24.66,92,93,2.39,1668978812
cap malheureux,MU,-19.9842,73.47,71,3,1.01,1668978812
ossora,RU,59.2353,13.05,81,17,6.4,1668978813
ambulu,ID,-8.345,75.87,88,94,2.19,1668978813
kultuk,RU,51.7208,18.68,75,100,3.89,1668978813
byron bay,AU,-28.65,74.95,45,87,7.85,1668978814
kaitangata,NZ,-46.2817,60.62,76,51,3.56,1668978814
newcastle,AU,-32.9272,69.82,48,0,9.22,1668978517
loreto,MX,22.2667,65.89,45,100,10.8,1668978814
puerto del rosario,ES,28.5004,69.55,78,40,25.32,1668978798
saint george,US,37.1041,54.43,25,0,3.0,1668978815
raudeberg,NO,61.9875,31.96,45,11,7.81,1668978815
waingapu,ID,-9.6567,79.81,81,100,1.19,1668978815
nantucket,US,41.2835,37.54,38,20,16.11,1668978669
provideniya,RU,64.3833,23.36,86,100,11.18,1668978625
henties bay,NA,-22.116,61.66,83,100,7.4,1668978816
saint-philippe,RE,-21.3585,72.99,78,44,9.51,1668978816
bara,NG,10.3744,77.47,27,4,8.32,1668978816
saint anthony,US,45.0205,31.82,60,0,9.22,1668978817
zhanaozen,KZ,43.3,48.13,91,38,4.88,1668978817
klaksvik,FO,62.2266,45.52,89,100,29.55,1668978817
lorengau,PG,-2.0226,82.53,69,99,9.57,1668978818
alta floresta,BR,-9.8756,75.74,85,65,2.44,1668978818
vanimo,PG,-2.6741,77.45,88,100,2.51,1668978818
nelson bay,AU,-32.7167,70.11,47,70,11.99,1668978819
llata,PE,-9.4167,64.81,62,100,8.68,1668978819
drumnadrochit,GB,57.3344,33.49,93,5,3.87,1668978819
tynda,RU,55.1667,-0.89,95,100,3.04,1668978728
salalah,OM,17.0151,77.09,65,20,5.75,1668978820
lubaczow,PL,50.157,30.51,97,64,4.23,1668978820
arraial do cabo,BR,-22.9661,75.06,83,0,14.97,1668978820
aiken,US,33.5835,49.32,51,0,3.44,1668978603
paamiut,GL,61.994,26.47,87,100,13.8,1668978821
thompson,CA,55.7435,21.36,93,100,8.05,1668978821
zhezkazgan,KZ,47.8043,31.21,91,100,5.19,1668978821
male,MV,4.1748,80.65,80,100,15.79,1668978822
aswan,EG,24.0934,72.77,61,4,7.85,1668978822
huarmey,PE,-10.0681,69.46,72,70,9.62,1668978822
harper,LR,4.375,76.68,87,100,3.4,1668978552
bredasdorp,ZA,-34.5322,58.23,78,0,2.06,1668978823
saint-pierre,RE,-21.3393,73.08,68,20,4.61,1668978823
yafran,LY,32.0633,48.16,42,0,5.95,1668978824
saint simons,US,31.1352,52.02,69,0,5.75,1668978824
chifeng,CN,42.2683,30.65,59,1,3.98,1668978729
margate,GB,51.3813,46.69,79,81,11.01,1668978824
aklavik,CA,68.2191,15.76,96,97,8.12,1668978825
jishui,CN,33.7333,53.44,81,95,4.68,1668978825
zmeinogorsk,RU,51.1567,-0.85,100,93,3.13,1668978825
meadville,US,41.6414,27.05,59,100,13.8,1668978825
da nang,VN,16.0678,76.98,94,75,1.14,1668978826
bathsheba,BB,13.2167,79.41,78,75,17.27,1668978826
jumla,NP,29.2747,40.95,35,0,5.08,1668978826
norman wells,CA,65.282,22.28,90,95,8.32,1668978827
lusaka,ZM,-15.4067,74.7,33,2,5.03,1668978821
roald,NO,62.5833,36.75,69,0,3.44,1668978827
nabire,ID,-3.3667,74.16,82,88,3.4,1668978828
hokitika,NZ,-42.7167,59.47,86,100,8.21,1668978542
ostrovnoy,RU,68.0531,34.83,91,100,9.98,1668978828
wukari,NG,7.85,79.38,30,68,4.29,1668978828
oriximina,BR,-1.7656,91.65,41,25,5.73,1668978829
college,US,64.8569,26.91,83,75,0.0,1668978829
zavallya,UA,48.2135,34.54,100,100,1.61,1668978829
bengkulu,ID,-3.8004,73.56,91,88,5.79,1668978830
castro,BR,-24.7911,70.23,69,82,7.92,1668978830
guilin,CN,25.2819,64.47,84,71,1.88,1668978830
iwanai,JP,42.9744,48.9,97,100,2.66,1668978831
putyatino,RU,54.16,27.27,97,100,1.95,1668978831
oliver,CA,49.1831,34.5,75,33,4.23,1668978831
eureka,US,40.8021,62.2,78,72,3.0,1668978682
sao joao da barra,BR,-21.6403,77.09,85,16,10.22,1668978832
zabid,YE,14.1951,78.85,73,69,5.26,1668978832
leningradskiy,RU,69.3833,-24.92,96,14,5.53,1668978832
carauari,BR,-4.8828,88.43,61,67,2.66,1668978832
baglung,NP,28.2719,55.2,49,0,6.31,1668978833
turukhansk,RU,65.8167,-12.57,93,100,5.26,1668978833
santa fe,AR,-31.6333,81.01,65,100,5.75,1668978584
makokou,GA,0.5738,69.49,99,95,3.78,1668978833
ponta do sol,PT,32.6667,65.71,71,31,5.48,1668978834
tocopilla,CL,-22.092,67.59,68,19,5.37,1668978834
saskylakh,RU,71.9167,-27.81,100,92,3.04,1668978834
batemans bay,AU,-35.7167,62.1,53,11,15.08,1668978835
catuday,PH,16.2923,78.39,78,100,11.9,1668978835
pangnirtung,CA,66.1451,-1.62,63,22,7.02,1668978836
luderitz,NA,-26.6481,63.43,72,92,13.09,1668978836
vicosa,BR,-20.7539,69.33,84,47,6.24,1668978836
sao luiz gonzaga,BR,-28.4083,83.88,46,100,6.35,1668978836
joigny,FR,47.9829,45.81,94,21,13.04,1668978832
manono,CD,-7.3,67.82,96,96,2.89,1668978837
acapulco,MX,16.8634,85.82,74,40,6.91,1668978697
denham springs,US,30.4869,59.9,42,0,6.91,1668978584
nioro,GM,13.35,77.25,20,100,3.85,1668978838
novopokrovka,UA,49.8425,34.3,99,100,12.12,1668978838
borogontsy,RU,62.6683,-32.22,100,76,2.19,1668978838
luau,AO,-10.7073,64.27,91,88,3.31,1668978839
dunedin,NZ,-45.8742,58.8,87,19,1.01,1668978839
pevek,RU,69.7008,-21.17,97,100,11.36,1668978839
kalmanka,RU,52.8992,7.54,78,29,11.34,1668978840
guerrero negro,MX,27.9769,71.8,30,2,7.56,1668978840
upernavik,GL,72.7868,14.63,94,100,14.34,1668978840
xuzhou,CN,34.1805,56.23,83,100,3.11,1668978841
tasiilaq,GL,65.6145,39.36,81,100,13.82,1668978841
hasaki,JP,35.7333,54.28,72,100,10.94,1668978841
prince rupert,CA,54.3161,42.89,93,100,9.22,1668978679
kodiak,US,57.79,40.51,93,100,0.0,1668978842
naryan-mar,RU,67.6713,32.76,97,100,11.16,1668978842
bela,IN,25.9333,62.04,66,0,4.29,1668978843
nemuro,JP,43.3236,51.19,74,100,22.26,1668978843
elektrogorsk,RU,55.8794,22.48,97,100,2.66,1668978843
mnogovershinnyy,RU,53.9353,16.2,97,92,4.29,1668978844
biak,ID,-0.9131,75.9,85,100,3.67,1668978844
evensk,RU,61.95,-8.61,79,11,6.62,1668978845
itaqui,BR,-29.1253,83.34,52,100,14.81,1668978769
hofn,IS,64.2539,44.67,82,100,6.76,1668978846
mabaruma,GY,8.2,75.65,95,33,4.61,1668978846
indian head,US,38.6001,42.06,23,0,16.11,1668978846
aripuana,BR,-9.1667,85.5,57,97,1.25,1668978847
karratha,AU,-20.7377,81.18,29,100,5.61,1668978847
hovd,MN,48.0056,23.16,59,17,6.87,1668978847
pindiga,NG,9.9833,76.53,27,2,7.31,1668978848
vieques,PR,18.425,82.72,78,40,14.97,1668978848
ulagan,RU,50.6321,17.06,94,100,2.51,1668978848
ibra,OM,22.6906,68.43,65,0,3.31,1668978849
marolambo,MG,-20.05,69.84,92,35,2.91,1668978849
moose factory,CA,51.2585,9.19,82,63,9.28,1668978849
tual,ID,-5.6667,84.61,70,100,8.32,1668978850
yerkoy,TR,39.6381,56.01,60,100,3.15,1668978850
tabou,CI,4.423,76.46,88,96,4.23,1668978851
kruisfontein,ZA,-34.0033,55.89,80,54,3.87,1668978851
clyde river,CA,70.4692,-15.97,81,6,3.78,1668978851
vostok,RU,46.4856,20.5,96,93,3.78,1668978852
salinopolis,BR,-0.6136,80.98,74,60,8.97,1668978852
chilca,PE,-12.5211,64.78,84,84,5.61,1668978853
el dorado,US,38.7666,61.68,28,35,4.0,1668978853
port-cartier,CA,50.0334,25.75,89,100,5.68,1668978853
kidal,ML,18.4411,75.7,11,78,9.31,1668978854
norrtalje,SE,59.758,33.03,82,100,12.91,1668978854
amarillo,US,35.222,54.09,24,0,17.27,1668978855
palmer,US,42.1584,33.35,33,20,18.41,1668978855
maragogi,BR,-9.0122,77.4,77,59,7.81,1668978643
deputatskiy,RU,69.3,-18.35,90,95,0.89,1668978856
balingasay,PH,16.3573,80.44,77,100,12.3,1668978856
high level,CA,58.5169,27.09,68,100,2.37,1668978856
kysyl-syr,RU,63.8986,-28.21,100,87,1.61,1668978857
ziro,IN,27.6333,38.46,63,4,2.89,1668978857
suoyarvi,RU,62.0833,18.25,94,9,2.28,1668978857
ola,RU,59.5833,12.49,78,100,8.61,1668978858
faanui,PF,-16.4833,78.15,75,71,18.59,1668978858
mkushi,ZM,-13.6202,72.27,44,23,3.27,1668978858
kholodnyy,RU,62.7167,-14.96,92,100,1.68,1668978859
chenzhou,CN,25.8,62.1,95,1,1.23,1668978859
moyale,KE,3.5167,71.08,58,76,5.79,1668978860
sao filipe,CV,14.8961,76.98,66,100,15.17,1668978860
banikoara,BJ,11.2985,78.62,21,91,4.45,1668978860
gamba,GA,-2.65,75.85,88,100,4.18,1668978861
kansanshi,ZM,-12.0951,63.81,80,24,3.91,1668978861
bitadton,PH,11.4969,76.17,86,96,4.63,1668978861
porto santo,PT,33.072,64.78,72,40,6.91,1668978862
chapais,CA,49.7834,8.38,92,100,13.13,1668978862
alofi,NU,-19.0595,77.65,79,32,16.67,1668978863
raga,SS,8.4596,74.64,26,58,3.02,1668978863
dikson,RU,73.5069,-18.96,95,17,8.23,1668978864
lagoa,PT,39.05,64.44,95,100,21.85,1668978864
riyadh,SA,24.6877,60.94,36,9,8.46,1668978691
ulaanbaatar,MN,47.9077,5.0,80,29,5.79,1668978710
lappeenranta,FI,61.0587,26.78,86,100,4.61,1668978864
yen bai,VN,21.7,70.95,94,43,1.95,1668978865
taoudenni,ML,22.6783,74.79,13,0,12.39,1668978865
sandnessjoen,NO,66.0217,41.41,34,0,2.3,1668978866
muroto,JP,33.2833,65.37,74,38,6.4,1668978866
jyvaskyla,FI,62.2415,25.95,91,100,8.05,1668978800
birin,NP,26.8865,49.86,74,1,4.27,1668978866
yarada,IN,17.65,75.63,64,98,11.36,1668978867
mushie,CD,-3.0167,70.5,98,87,3.09,1668978867
ayame,CI,5.6083,74.35,92,99,3.18,1668978867
makakilo city,US,21.3469,82.72,56,20,20.71,1668978868
georgiyevskoye,RU,58.731,16.81,61,0,1.07,1668978868
tautira,PF,-17.7333,76.71,71,24,13.49,1668978868
soyo,AO,-6.1349,77.31,83,21,5.1,1668978869
aykino,RU,62.2248,22.42,94,100,6.06,1668978869
praia da vitoria,PT,38.7333,67.75,94,100,10.13,1668978869
tanete,ID,-3.9443,75.0,89,95,0.76,1668978870
flinders,AU,-34.5833,67.17,56,47,17.0,1668978870
lompoc,US,34.6391,75.78,20,0,12.66,1668978573
tilichiki,RU,60.4667,-5.28,94,55,8.55,1668978871
gejiu,CN,23.306,51.53,96,68,4.21,1668978871
bulgan,MN,48.8125,13.89,70,100,1.9,1668978871
alugan,PH,12.2188,79.81,86,77,10.11,1668978872
gravdal,NO,68.1214,26.49,80,0,3.44,1668978872
tromso,NO,69.6496,28.38,93,0,2.3,1668978872
enshi,CN,30.3,58.44,89,86,2.53,1668978873
phek,IN,25.6667,43.81,84,93,1.36,1668978873
seoul,KR,37.5683,47.64,58,70,1.28,1668978840
darhan,MN,49.4867,10.92,74,99,5.41,1668978874
carballo,ES,43.213,62.76,94,100,13.31,1668978874
emerald,AU,-23.5333,76.33,87,71,7.92,1668978874
okhotsk,RU,59.3833,18.07,94,100,12.97,1668978875
adrar,MR,20.5022,73.58,14,0,9.64,1668978875
krasnoselkup,RU,65.7,-26.81,100,99,1.63,1668978875
port hardy,CA,50.6996,42.19,76,100,9.1,1668978876
kargasok,RU,59.0556,-14.67,97,70,8.08,1668978876
cerro punta,PA,8.85,57.87,95,100,1.23,1668978876
abu dhabi,AE,24.4667,80.62,65,0,10.36,1668978877
mutoko,ZW,-17.397,71.83,57,1,7.05,1668978877
broome,US,42.2506,27.7,63,100,17.27,1668978877
nuevo casas grandes,MX,30.4167,43.75,69,86,1.01,1668978878
carutapera,BR,-1.195,80.15,74,73,8.14,1668978878
providencia,MX,28.7167,78.42,23,0,7.36,1668978804
aktas,KZ,49.7789,19.15,100,96,2.55,1668978878
cabo san lucas,MX,22.8909,82.62,57,0,13.8,1668978633
papar,MY,5.7333,78.8,87,98,2.71,1668978879
itarema,BR,-2.9248,79.83,77,74,17.11,1668978879
kulu,TR,39.0951,53.58,68,100,4.32,1668978879
sao gabriel da cachoeira,BR,-0.1303,84.97,74,94,1.28,1668978880
jalu,LY,29.0331,67.37,27,100,7.96,1668978880
tebingtinggi,ID,3.3285,72.97,96,100,2.86,1668978880
cuamba,MZ,-14.8031,80.4,48,73,8.21,1668978881
zhigansk,RU,66.7697,-24.2,100,100,5.37,1668978881
juneau,US,58.3019,42.22,100,100,12.66,1668978882
coihaique,CL,-45.5752,58.95,41,20,8.05,1668978882
usoke,TZ,-5.1667,65.03,86,74,4.32,1668978882
milyutinskaya,RU,48.6279,41.25,82,100,11.45,1668978882
isangel,VU,-19.55,81.52,75,11,4.81,1668978883
ulladulla,AU,-35.35,59.45,59,4,16.78,1668978883
svetlaya,RU,46.5389,34.79,71,98,7.43,1668978883
caxito,AO,-8.5785,78.44,75,79,1.05,1668978884
ambanja,MG,-13.6833,76.57,90,87,1.52,1668978884
vila velha,BR,-20.3297,76.95,90,75,8.05,1668978884
ust-tsilma,RU,65.441,33.37,97,100,9.64,1668978885
warrington,GB,53.3925,45.99,92,25,3.0,1668978885
half moon bay,US,37.4636,68.88,42,0,5.75,1668978663
diamantino,BR,-14.4086,87.76,48,23,5.53,1668978885
mingaora,PK,34.7758,50.0,44,0,8.16,1668978886
sibolga,ID,1.7427,74.75,89,100,2.57,1668978660
kasane,BW,-17.8167,79.11,27,2,3.94,1668978886
dulovo,BG,43.8167,48.56,91,100,6.26,1668978886
upington,ZA,-28.4478,74.8,9,98,3.91,1668978887
oxford,GB,51.7522,41.49,92,0,5.75,1668978675
panama city,PA,8.9936,85.17,75,40,12.66,1668978639
pleshanovo,RU,52.8333,20.64,96,95,4.16,1668978887
jawhar,SO,2.7809,77.0,84,68,7.38,1668978887
kenai,US,60.5544,37.15,79,100,8.05,1668978888
richards bay,ZA,-28.783,63.46,73,2,1.05,1668978888
cootamundra,AU,-34.65,51.94,73,74,17.54,1668978888
ndele,CF,8.4109,75.04,28,39,4.68,1668978889
brae,GB,60.3964,45.12,66,100,23.47,1668978889
mount isa,AU,-20.7333,76.77,20,40,8.05,1668978889
cayenne,GF,4.9333,80.64,78,0,3.44,1668978763
tashtyp,RU,52.7939,11.57,78,47,11.5,1668978890
rawson,AR,-43.3002,59.29,43,1,16.17,1668978654
rafaela,AR,-31.2503,82.0,38,100,11.01,1668978890
ponta delgada,PT,37.7333,67.5,88,75,14.97,1668978890
bonfim,BR,3.0833,87.4,56,78,5.64,1668978891
kulhudhuffushi,MV,6.6221,78.37,80,85,5.97,1668978891
mahebourg,MU,-20.4081,73.69,78,40,4.61,1668978891
sandpoint,US,48.2766,32.04,62,0,4.61,1668978892
hambantota,LK,6.1241,75.43,88,1,5.73,1668978892
sinnai,IT,39.3042,56.5,62,20,11.5,1668978892
hobyo,SO,5.3505,81.45,74,97,13.85,1668978893
beachwood,US,41.4645,26.83,57,75,18.41,1668978686
bad essen,DE,52.3167,32.29,87,100,6.17,1668978893
tura,IN,25.5198,60.03,77,100,3.87,1668978894
pontal do parana,BR,-25.6533,72.7,77,82,6.24,1668978894
chicama,PE,-7.8447,64.94,63,12,10.56,1668978894
dong hoi,VN,17.4833,74.05,92,99,9.8,1668978895
saint-joseph,RE,-21.3667,71.98,81,32,5.32,1668978895
indramayu,ID,-6.3264,80.15,79,99,6.73,1668978895
bria,CF,6.5423,71.58,44,36,2.66,1668978895
luanda,AO,-8.8368,77.88,77,5,5.12,1668978896
douglas,US,41.3,51.73,27,0,12.66,1668978896
mujiayingzi,CN,42.1167,30.09,65,4,3.78,1668978896
ornskoldsvik,SE,63.2909,29.35,93,100,8.05,1668978897
hamilton,US,39.1834,36.23,28,0,8.05,1668978811
marsh harbour,BS,26.5412,77.79,77,66,20.8,1668978897
matay,EG,28.419,67.3,36,84,4.65,1668978897
deseronto,CA,44.2001,23.81,78,70,11.25,1668978898
gizo,SB,-8.103,83.37,66,41,10.94,1668978898
ambilobe,MG,-13.2,75.83,82,50,1.28,1668978899
namtsy,RU,62.7161,-30.12,100,51,3.51,1668978899
kvitok,RU,56.0724,0.95,97,49,2.89,1668978899
platteville,US,42.7342,38.14,48,0,21.85,1668978899
fuerte olimpo,PY,-21.0415,100.9,21,45,6.96,1668978900
goderich,CA,43.7501,29.91,72,100,23.67,1668978900
taksimo,RU,56.3444,-8.14,86,74,2.24,1668978900
konstantinovka,RU,49.6167,9.66,84,6,10.13,1668978901
tateyama,JP,34.9833,55.09,92,100,20.51,1668978901
xining,CN,36.6167,27.57,48,99,1.92,1668978901
forst,DE,51.7333,27.86,89,39,5.3,1668978902
kavieng,PG,-2.5744,82.45,66,90,12.12,1668978902
tres arroyos,AR,-38.3739,63.07,43,34,16.04,1668978903
akdepe,TM,42.0551,49.17,53,95,8.86,1668978905
zyryanka,RU,65.75,-33.29,98,40,5.26,1668978905
ereymentau,KZ,51.6199,4.3,91,20,5.14,1668978906
gravelbourg,CA,49.8834,31.98,69,50,15.01,1668978906
geraldton,AU,-28.7667,52.21,87,0,8.05,1668978907
constitucion,CL,-35.3333,64.04,53,0,18.25,1668978907
egvekinot,RU,66.3167,-15.5,88,64,13.71,1668978908
zhangye,CN,38.9342,34.03,29,100,1.72,1668978908
vavoua,CI,7.3819,75.06,75,78,3.27,1668978909
kaeo,NZ,-35.1,67.32,89,100,13.44,1668978909
cerfontaine,BE,50.17,43.45,87,75,12.66,1668978909
vardo,NO,70.3705,35.58,87,100,8.05,1668978910
darovskoy,RU,58.77,11.79,91,5,1.41,1668978910
san cristobal,VE,7.7669,76.6,72,64,1.83,1668978911
diego de almagro,CL,-26.3667,76.68,27,0,11.16,1668978911
san luis de la paz,MX,21.3,64.62,70,100,9.66,1668978912
labuhan,ID,-6.8844,78.46,80,100,6.22,1668978912
nicolas bravo,MX,18.45,79.79,81,100,3.13,1668978912
buala,SB,-8.145,83.43,67,93,9.42,1668978913
kahului,US,20.8947,82.42,65,40,17.27,1668978736
sitka,US,57.0531,48.09,76,100,6.91,1668978913
chake chake,TZ,-5.2459,77.27,91,84,6.2,1668978914
tadine,NC,-21.55,77.63,80,12,6.13,1668978914
olinda,BR,-8.0089,80.33,69,40,6.91,1668978915
kiunga,PG,-6.1219,73.53,100,100,0.56,1668978915
general pico,AR,-35.6566,75.87,33,10,14.76,1668978915
jacmel,HT,18.2342,89.44,66,10,3.02,1668978916
diffa,NE,13.3154,74.46,18,100,9.19,1668978916
